case_name,dataset_split,water_height_m,obstacle_height_m,obstacle_front_x_m,obstacle_width_m,end_time_s,field_write_interval_s,metric_write_interval_s,run_status,final_time_s,mesh_ok,n_pressure_samples_status,n_area_average_samples,n_maximum_samples,peak_area_average_p_rgh_Pa,time_peak_area_average_p_rgh_s,peak_maximum_p_rgh_Pa,time_peak_maximum_p_rgh_s,peak_area_average_alpha_water,time_peak_area_average_alpha_water_s,peak_maximum_alpha_water,time_peak_maximum_alpha_water_s,first_local_wetting_time_s,first_distributed_wetting_time_s,local_wetting_duration_s,distributed_wetting_duration_s,area_average_pressure_impulse_Pa_s,maximum_pressure_impulse_Pa_s,final_area_average_p_rgh_Pa,final_maximum_p_rgh_Pa,final_area_average_alpha_water,final_maximum_alpha_water
surrGrid_H0250_obsH0042_x0220,training_grid,0.25,0.042,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3253.347,0.315,4846.164,0.315,0.9981901,1.065,1.0,0.095,0.085,0.16,1.415,1.34,981.9138752549999,1537.4187382125003,638.702,840.4186,0.9929879,1.0
surrGrid_H0250_obsH0042_x0250,training_grid,0.25,0.042,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2353.026,0.345,4036.491,0.12,0.9998194,0.78,1.0,0.11,0.105,0.2,1.395,1.3,990.4193301200002,1743.6010904875,603.6593,713.1297,0.9896049,1.0
surrGrid_H0250_obsH0042_x0275,training_grid,0.25,0.042,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2131.907,0.36,4172.821,0.135,0.9998986,0.75,1.0,0.125,0.12,0.275,1.38,1.225,986.2656560025001,1710.3299436750003,667.3462,814.6581,0.9280568,1.0
surrGrid_H0250_obsH0042_x0292,training_grid,0.25,0.042,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1697.654,0.37,4403.748,0.135,0.9999259,0.855,1.0,0.135,0.13,0.34,1.37,1.16,961.4030609837502,1646.8735293475002,656.966,761.0152,0.9641883,1.0
surrGrid_H0250_obsH0042_x0320,training_grid,0.25,0.042,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,4795.021,0.375,6223.671,0.375,0.999977,0.835,1.0,0.15,0.145,0.47,1.355,1.03,926.4120684699997,1648.0452113099996,746.2399,957.0966,0.8463092,1.0
surrGrid_H0250_obsH0042_x0350,training_grid,0.25,0.042,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3551.662,0.38,4850.637,0.17,0.9999926,0.9,1.0,0.165,0.16,0.51,1.34,0.99,908.5642459947499,1645.027837289001,842.7146,1039.95,0.9033203,1.0
surrGrid_H0250_obsH0042_x0380,training_grid,0.25,0.042,0.38,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3073.345,0.375,5200.878,0.18,0.9999345,0.95,1.0,0.18,0.175,0.545,1.325,0.955,917.3441807229997,1640.3923021687508,577.193,727.2581,0.9035394,1.0
surrGrid_H0250_obsH0048_x0220,training_grid,0.25,0.048,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1498.556,0.11,4076.708,0.105,0.9991167,1.5,1.0,0.095,0.085,0.17,1.415,1.33,985.2307800999997,1506.6949568475,661.1693,787.1495,0.9991167,1.0
surrGrid_H0250_obsH0048_x0250,training_grid,0.25,0.048,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,5168.318,0.355,7590.376,0.355,0.9999473,0.87,1.0,0.11,0.105,0.225,1.395,1.275,1012.4311459924998,1808.2243336325002,602.6602,743.3262,0.9991998,1.0
surrGrid_H0250_obsH0048_x0275,training_grid,0.25,0.048,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,5592.641,0.375,7544.957,0.375,0.9999199,0.885,1.0,0.125,0.12,0.33,1.38,1.17,1005.2519711949998,1708.8049600549996,647.0121,760.9301,0.9879491,1.0
surrGrid_H0250_obsH0048_x0292,training_grid,0.25,0.048,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3057.093,0.39,4456.212,0.135,0.99996,0.82,1.0,0.135,0.13,0.475,1.37,1.025,931.1863156947495,1688.9068085750007,741.3051,882.7766,0.7737977,1.0
